"","title","org","abstract","filename"
"1","Cost of Base Realignment Actions (COBRA) Model Enhancement","CAA-RA","54th AORS 2016                              ABSTRACT SUBMISSION FORM Abstracts must be approved for public release or release to the foreign governments of Australia, Canada, France, Germany, the Netherlands, New Zealand, the Republic of Korea, and the United Kingdom. NOTE: It is the responsibility of the corresponding author to obtain the required release authority from their respective Foreign Disclosure Officer (FDO). Please email the completed and certified abstract submission form to the AORS Mailbox not later than 15 July 2016.                                      Security Classification: UNCLASSIFIED        Title: Cost of Base Realignment Actions (COBRA) Model Enhancement    Keywords: Stationing, BRAC, Cost Comparison    Recommended Working Group Session(s): Resource Analysis    Corresponding Author:    Last: Harrop                    First: Sarah                                                  Org: CAA-RA    Street: 6001 Goethals Rd    City:     Fort Belvoir                     State: VA                           Zip: 22060-5230            Country: USA    Phone Comm: 703-806-5689                   Fax Comm:    Phone DSN:                                 Fax DSN:    Email: sarah.e.harrop.civ@mail.mil    Additional Authors:    Last:   Zoller                  First: Nancy                                                  Org: CAA-RA    Last:                           First:                                                        Org:    Last:                           First:                                                        Org:    Sponsor (for Contractors only):    Printed Name:                                                                                 Org:    Signature:    FDO Certification: I certify that this abstract has been reviewed and is (select one):       approved for public release.       releasable to these countries:___________________________________________________________    Printed Name: Martin Dubbs    Signature:                                                                                              Date: 18 July 2016                                                      Digitally signed by DUBBS.MARTIN.LUTHER.JR.1039126741                     DUBBS.MARTIN.LUTHER.JR.103912674 DN: c=US, o=U.S. Government, ou=DoD, ou=PKI, ou=USA,                                                      cn=DUBBS.MARTIN.LUTHER.JR.1039126741                     1                                Date: 2016.07.18 13:40:28 -04'00'                                             UNCLASSIFIED  Abstract: The Department of Defense (DoD) has used the Cost of Base Realignment Actions (COBRA) model since the first Base Realignment and Closure (BRAC) round in 1988. COBRA is a cost comparison model that allows an analyst to compare competing BRAC scenarios and up until now has not been used outside of BRAC. However, the Military Departments could use COBRA to provide cost comparisons for day-to-day stationing or strategic stationing decisions. COBRA has not been updated since the 2005 BRAC round, when a DoD Joint Process Action Team (JPAT) rewrote multiple algorithms to account for changes in technology and DoD business operations. To fully understand the magnitude of strategic stationing decisions, the DoD needs to consider the costs and savings associated with alternative stationing scenarios in a consistent manner. An enhanced COBRA model with additional analytic capabilities will support such a need. The Office of the Secretary of Defense (OSD) has initiated a new JPAT outside of BRAC to review the COBRA model’s structure, analysis capabilities, and algorithms. The JPAT will update algorithms due to technology and business practices as in the past, but is also looking to improve the user experience and enhance its analytic capabilities to provide a more powerful decision support system for the Departments. Once the model is updated, the Departments can use COBRA in all stationing analyses to inform decisions outside of BRAC as well as prepare to support any future BRAC. We will discuss the JPAT initiative and the planned analytic enhancements.","001_Harrop_CAARA_Cost_of_Base_Realignment_Actions_(COBRA)_Model_Enhancement_AORS_2016_FDO_Signed.txt"
"2","Effective Visualization: From Modeling the Problem Set to Presentation of the Results","Center for Army Analysis","54th AORS 2016                              ABSTRACT SUBMISSION FORM Abstracts must be approved for public release or release to the foreign governments of Australia, Canada, France, Germany, the Netherlands, New Zealand, the Republic of Korea, and the United Kingdom. NOTE: It is the responsibility of the corresponding author to obtain the required release authority from their respective Foreign Disclosure Officer (FDO). Please email the completed and certified abstract submission form to the AORS Mailbox not later than 15 July 2016.                                      Security Classification: UNCLASSIFIED        Title: Effective Visualization: From Modeling the Problem Set to Presentation of the Results    Keywords: Modeling, Visualization; SPSS Modeler; Tableau    Recommended Working Group Session(s): Advances in OR & Technology (R&D)    Corresponding Author:    Last: Rochelle                  First: Shawnette                                              Org: Center for Army Analysis    Street: Bldg 1839, 6001 Goethals Rd    City:     Fort Belvoir                     State: VA                           Zip: 22060-5230               Country: US    Phone Comm: 703-806-5537                   Fax Comm:    Phone DSN:       312-656-5537              Fax DSN:    Email: shawnette.m.rochelle.mil@mail.mil    Additional Authors:    Last:                           First:                                                        Org:    Last:                           First:                                                        Org:    Last:                           First:                                                        Org:    Sponsor (for Contractors only):    Printed Name:                                                                                 Org:    Signature:    FDO Certification: I certify that this abstract has been reviewed and is (select one):       approved for public release.       releasable to these countries:___________________________________________________________    Printed Name: Martin Dubbs    Signature:                                                                                                Date: 15 July 2016                                                      Digitally signed by DUBBS.MARTIN.LUTHER.JR.1039126741                     DUBBS.MARTIN.LUTHER.JR.103912674 DN: c=US, o=U.S. Government, ou=DoD, ou=PKI, ou=USA,                                                      cn=DUBBS.MARTIN.LUTHER.JR.1039126741                     1                                Date: 2016.07.15 09:19:57 -04'00'                                               UNCLASSIFIED Abstract: The demand for analytical underpinnings to inform decisions within the Department of Defense continues to grow. This increased demand for analytical products places pressure on analysts to more quickly model and analyze increasingly complex problems. The baseline analytical tools (e.g. Excel) provided, however, often make visualizing the problem, retracing the analyst’s process, and/or replicating the work exceedingly difficult. Programming provides analysts one solution, but not every analyst is a programmer. Fortunately, other tools, such as SPSS Modeler and Tableau, support modeling and visualization of the problem set through to visualization of the results for the decision maker without the need to learn a programming language. Deployment of these tools to support the quick modeling and visualization of complex problems will be highlighted as well as best practices for effective visualizations for decision makers.","002_Rochelle_CAA__Effective_Visualization_AORS_2016_FDO_Signed.txt"
"3","Shifting the Assessments Paradigm: Systemic Challenges at CJTF-HOA","Center for Army Analysis","54th AORS 2016                              ABSTRACT SUBMISSION FORM Abstracts must be approved for public release or release to the foreign governments of Australia, Canada, France, Germany, the Netherlands, New Zealand, the Republic of Korea, and the United Kingdom. NOTE: It is the responsibility of the corresponding author to obtain the required release authority from their respective Foreign Disclosure Officer (FDO). Please email the completed and certified abstract submission form to the AORS Mailbox not later than 15 July 2016.                                      Security Classification: UNCLASSIFIED        Title: Shifting the Assessments Paradigm: Systemic Challenges at CJTF-HOA    Keywords: CJTF-HOA; operational assessments    Recommended Working Group Session(s): Current Operations    Corresponding Author:    Last: Rochelle                  First: Shawnette                                              Org: Center for Army Analysis    Street: Bldg 1839, 6001 Goethals Rd, ,    City:     Fort Belvoir                     State: VA                           Zip: 22060-5230               Country: US    Phone Comm: 703-806-5537                   Fax Comm:    Phone DSN:       312-656-5537              Fax DSN:    Email: shawnette.m.rochelle.mil@mail.mil    Additional Authors:    Last:                           First:                                                        Org:    Last:                           First:                                                        Org:    Last:                           First:                                                        Org:    Sponsor (for Contractors only):    Printed Name:                                                                                 Org:    Signature:    FDO Certification: I certify that this abstract has been reviewed and is (select one):       approved for public release.       releasable to these countries:___________________________________________________________    Printed Name: Martin Dubbs    Signature:                                                                                                Date: 15 July 2016                                                      Digitally signed by DUBBS.MARTIN.LUTHER.JR.1039126741                     DUBBS.MARTIN.LUTHER.JR.103912674 DN: c=US, o=U.S. Government, ou=DoD, ou=PKI, ou=USA,                                                      cn=DUBBS.MARTIN.LUTHER.JR.1039126741                     1                                Date: 2016.07.15 09:22:25 -04'00'                                               UNCLASSIFIED  Abstract: As the model for deployments continues to shift in the future – characterized by greater emphasis on the host nation military taking the lead, limited permissions and authorities, shorter personnel rotations, and increased use of technology in lieu of Service members – the assessments paradigm must also evolve. In order to deliver an assessment that will provide the commander salient insights, individuals leading assessments must trigger a paradigm shift. Rather than primarily focusing on the collection of data and the measurement of progress against effects and objectives, they must first comprehensively identify, examine, and mitigate the impact of systemic challenges present in the operational environment. A solid assessment framework will provide insights, but an operational assessment’s effectiveness lies in its ability to inform the commander and enable him/her to direct actions that advance the campaign. Failure to identify and mitigate the impact of systemic challenges on the assessment, and other staff work, ensures the assessment will not inform the Commander’s decisions about the campaign or improve the effectiveness of operations. Combined Joint Task Force - Horn of Africa (CJTF-HOA) serves as an excellent case study of how systemic challenges require a shift in the assessments paradigm. Systemic challenges present at CJTF-HOA, while not exhaustive, include a Joint Manning Document that does not support requirements for the current mission, limited legal and fiscal authorities, high personnel turnover (approximately 150% annually), and limited boots on the ground throughout the area of operations (limited sensors). These systemic challenges, and various other factors, consistently impact the value of the insights the assessment provides the commander and the staff. Recently implemented best practices designed to mitigate the impact of systemic challenges highlighted above will be discussed.","003_Rochelle_CAA_Shifting_the_Assessments_Paradigm_AORS_2016_FDO_Signed.txt"
"4","MUNITIONS EFFECTIVENESS TOOL TO ADDRESS MULTI-VARAIANT REALITIES","Center for Army Analysis","54th AORS 2016                              ABSTRACT SUBMISSION FORM Abstracts must be approved for public release or release to the foreign governments of Australia, Canada, France, Germany, the Netherlands, New Zealand, the Republic of Korea, and the United Kingdom. NOTE: It is the responsibility of the corresponding author to obtain the required release authority from their respective Foreign Disclosure Officer (FDO). Please email the completed and certified abstract submission form to the AORS Mailbox not later than 15 July 2016.                                      Security Classification: UNCLASSIFIED        Title: MUNITIONS EFFECTIVENESS TOOL TO ADDRESS MULTI-VARAIANT REALITIES    Keywords: Theater Campaign Modeling, Phase Threat Distribution, Munitions Effectiveness, Shot Distribu    Recommended Working Group Session(s): Current Operations, War gaming,Resource Analysis    Corresponding Author:    Last: Smith                     First: Shana                                                  Org: Center for Army Analysis    Street: 6001 Geothals Rd    City:     FT Belvior                       State: VA                           Zip: 22060                    Country: USA    Phone Comm: 703-806-5481                   Fax Comm: 703-806-5743    Phone DSN:       312-656-5481              Fax DSN:                      312-656-5743    Email:    Additional Authors:    Last:   Nixon                   First: Gregory                                                Org: Center for Army Analysis    Last:   Tchanqué                First: Emmanuel                                               Org: Center for Army Analysis    Last:                           First:                                                        Org:    Sponsor (for Contractors only):    Printed Name:                                                                                 Org:    Signature:    FDO Certification: I certify that this abstract has been reviewed and is (select one):       approved for public release.       releasable to these countries:___________________________________________________________    Printed Name: Martin Dubbs    Signature:                                                                                                Date: 15 July                                                      Digitally signed by DUBBS.MARTIN.LUTHER.JR.1039126741                     DUBBS.MARTIN.LUTHER.JR.103912674 DN: c=US, o=U.S. Government, ou=DoD, ou=PKI, ou=USA,                                                      cn=DUBBS.MARTIN.LUTHER.JR.1039126741                     1                                Date: 2016.07.15 09:41:19 -04'00'                                               UNCLASSIFIED  Abstract: When looking at munitions requirements in the aggregate, a campaign can be simplified into two questions, “Who shot at what?” and “What did it kill?” CAA has consistently been asked to determine the munitions shot distribution and kills of targets for the Army’s share of various theater campaign phased threat distributions (PTD). In response to this ongoing requirement, CAA developed a repeatable and adaptable methodology using prior modeled output modified to address alternative assumptions of target density and munitions availability. As a process improvement, a repeatable and adaptable tool using this methodology is being developed which provides the decision maker flexibility in assumptions and inputs while calculating a reasonable shot distribution and projected kills. The tool has two inputs: the quantity of munitions by type and the quantity of targets by type which can be varied by the decision maker. To calculate the shot distribution of munitions to targets, two preferred realities are considered: 1) Given a quantity of munitions what is the preferred shot to target, and 2) Given a quantity of targets what is the preferred munitions required to address them. These ratios and the expected red system kills are currently being calculated using modeled output from a representative scenario, but this tool is designed to be modified based on SME input. By comparing what you would prefer to shoot your munitions at, with how you would prefer to kill a target, it’s possible to create a munitions-to-target shot distribution constrained by munitions availability and target density.","004_Smith_CAADE_Munitions_Effectiveness_Tool_to_Address_Multivaraiant_Realities_AORS_2016_FDO_Signed.txt"
"5","QUANTITATIVE WAR RESERVE REQUIREMENTS FOR MUNITIONS: (UNIT, TIME-PHASE, RES","Center for Army Analysis","54th AORS 2016                              ABSTRACT SUBMISSION FORM Abstracts must be approved for public release or release to the foreign governments of Australia, Canada, France, Germany, the Netherlands, New Zealand, the Republic of Korea, and the United Kingdom. NOTE: It is the responsibility of the corresponding author to obtain the required release authority from their respective Foreign Disclosure Officer (FDO). Please email the completed and certified abstract submission form to the AORS Mailbox not later than 15 July 2016.                                      Security Classification: UNCLASSIFIED        Title: QUANTITATIVE WAR RESERVE REQUIREMENTS FOR MUNITIONS: (UNIT, TIME-PHASE, RES    Keywords: Ammunition Requirement, Combat Loads, Modeling, Research and Development, Process Imp    Recommended Working Group Session(s): Sustainment,Resource analysis    Corresponding Author:    Last: Tchanqué                  First: Emmanuel                                               Org: Center for Army Analysis    Street: 6001 Geothals Rd    City:     FT Belvior                       State: VA                           Zip: 22060                    Country: USA    Phone Comm: 703-806-5461                   Fax Comm: 703-806-5743    Phone DSN:        312-656-5461             Fax DSN:                      312-656-5743    Email:    Additional Authors:    Last:   Chang                   First: Terri                                                  Org: Center for Army Analysis    Last:   Flewelling              First: Craig                                                  Org: Center for Army Analysis    Last:   Smith                   First: Shana                                                  Org: Center for Army Analysis    Sponsor (for Contractors only):    Printed Name:                                                                                 Org:    Signature:    FDO Certification: I certify that this abstract has been reviewed and is (select one):       approved for public release.       releasable to these countries:___________________________________________________________    Printed Name: Martin Dubbs    Signature:                                                                                                Date: 15 July 2016                                                      Digitally signed by DUBBS.MARTIN.LUTHER.JR.1039126741                     DUBBS.MARTIN.LUTHER.JR.103912674 DN: c=US, o=U.S. Government, ou=DoD, ou=PKI, ou=USA,                                                      cn=DUBBS.MARTIN.LUTHER.JR.1039126741                     1                                Date: 2016.07.15 09:43:26 -04'00'                                             UNCLASSIFIED  Abstract: One of the challenges in planning future requirements is the absence of concrete assumptions. One of the elements of the Quantitative War Reserve Requirements for Munition (QWARRM) study is considering future force structure changes and the combat support and service support requirements when estimating combat loads. By leveraging existing studies and modeled output, it was possible to recycle existing data to determine a reasonable deployment profile by standard requirements code (SRC) across multiple years. By cross multiplying the quantity of unique SRCs in a given status with the SRC’s Combat Load (CL) it was possible to build a unique munitions requirement for each time period.  As a process improvement, the Center for Army Analysis (CAA) is developing an automated and repeatable method to provide a quick-turn capability to construct an SRC time-line traversed with SRC specific resources to present an aggregated time sensitive look at changing requirements. By looking beyond the initial intended use of modeled output (MARATHON and FORGE) and identifying the type of data generated from each model, it was possible to restructure existing information to examine requirements and respond to supplemental queries outside the scope of the initial study parameters.","005_Smith_CAADE__QWARRM-Combat_Load_Tool_AORS_2016_FDO_Signed.txt"
"6","Identifying the Risks JLOTS Operations have on the Timing of a Campaign","Center for Army Analysis","54th AORS 2016                              ABSTRACT SUBMISSION FORM Abstracts must be approved for public release or release to the foreign governments of Australia, Canada, France, Germany, the Netherlands, New Zealand, the Republic of Korea, and the United Kingdom. NOTE: It is the responsibility of the corresponding author to obtain the required release authority from their respective Foreign Disclosure Officer (FDO). Please email the completed and certified abstract submission form to the AORS Mailbox not later than 15 July 2016.                                      Security Classification: UNCLASSIFIED        Title: Identifying the Risks JLOTS Operations have on the Timing of a Campaign    Keywords: JLOTS, Modeling, Logistics, Campaign planning    Recommended Working Group Session(s): Current Operations, Sustainment, War gaming Combat    Corresponding Author:    Last: Hatch                     First: Sandra                                                 Org: Center for Army Analysis    Street: 6001 Geothals Rd    City:     FT Belvior                       State: VA                           Zip: 22060                    Country: USA    Phone Comm: 703-806-5438                   Fax Comm: 703-806-5743    Phone DSN:       312-656-5438              Fax DSN:                      312-656-5743    Email: Sandra.w.hatch.civ@mail.mil    Additional Authors:    Last:   Peterson                First: Stephen                                                Org: Center for Army Analysis    Last:   Dennie                  First: Ashley                                                 Org:    Last:                           First:                                                        Org:    Sponsor (for Contractors only):    Printed Name:                                                                                 Org:    Signature:    FDO Certification: I certify that this abstract has been reviewed and is (select one):       approved for public release.       releasable to these countries:___________________________________________________________    Printed Name: Martin Dubbs    Signature:                                                                                                Date: 15 July 2016                                                      Digitally signed by DUBBS.MARTIN.LUTHER.JR.1039126741                     DUBBS.MARTIN.LUTHER.JR.103912674 DN: c=US, o=U.S. Government, ou=DoD, ou=PKI, ou=USA,                                                      cn=DUBBS.MARTIN.LUTHER.JR.1039126741                     1                                Date: 2016.07.15 09:48:22 -04'00'                                             UNCLASSIFIED  Abstract: Significant time and resources are spent on determining how we would fight in a given situation against a specific enemy. A constraining factor that is often underestimated is how the forces got to the fight. While the Atlantic and Pacific oceans have provided natural barriers to invading enemies at home, they present a logistical problem that must be solved before we can deploy U.S. Military forces into hostile areas of operations. When planning a campaign, it is important for the warfighter to understand the impact Joint Logistics Over the Shore (JLOTS) operations would have on the timing, type and quantity of forces commanders will have available in the early stages of operations. Modeling the flow of various force packages through JLOTS operations clarifies a key factor that would impact the planning of a successful operation. In support of the Center for Army Analysis (CAA) campaign planning, the Deployment and Enablers Division (DE) developed a quick flow analysis (QFA) simulation tool that explicitly models intra-theater transportation. JLOTS operations use a constrained set of Army and Navy assets to move cargo from an Intermediate Staging Base (ISB) to shore at austere or damaged ports or beaches. By modeling the expected force flow, it can be determined when units would be available to participate in the warfight. Modeling various force packages and flow priorities through these operations provides the decision maker a better understanding of the impact intra-theater logistics constraints have on the campaign when this is the only avenue for troop entry.","006_Hatch_CAADE_Identifying_the_Risks_JLOTS_Operations_have_on_the_Timing_of_a_Campaign_AORS_2016_(ILAS)_FDO_Signed.txt"
"7","Modeling and Simulation Capability Portfolio Review and Gap Analysis","U.S. Army Modeling and Simulation Office","54th AORS 2016                               ABSTRACT SUBMISSION FORM Abstracts must be approved for public release or release to the foreign governments of Australia, Canada, France, Germany, the Netherlands, New Zealand, the Republic of Korea, and the United Kingdom. NOTE: It is the responsibility of the corresponding author to obtain the required release authority from their respective Foreign Disclosure Officer (FDO). Please email the completed and certified abstract submission form to the AORS Mailbox not later than 8 July 2016.                                       Security Classification: UNCLASSIFIED        Title: Modeling and Simulation Capability Portfolio Review and Gap Analysis    Keywords: Modeling & Simulation, Capability Portfolio Review, Policy, Enterprise, Gaps    Recommended Working Group Session(s): Modeling and Simulation (M&S)    Corresponding Author:    Last: Traylor                    First: Rebeca                                                 Org: U.S. Army Modeling and Simulation Office    Street: 5801 Hurley Rd    City:     Fort Belvoir                      State: VA                           Zip: 22060                   Country: United States    Phone Comm: (703) 805-0230                  Fax Comm:    Phone DSN:                                  Fax DSN:    Email: rebeca.r.traylor.civ@mail.mil    Additional Authors:    Last:   Johnson                  First: LTC Craig                                              Org: U.S. Army Modeling and Simulation Office    Last:   Gavlinski                First: Jeffrey                                                Org: U.S. Army Modeling and Simulation Office    Last:   Pilar                    First: Jamie                                                  Org: Trideum Corp    Sponsor (for Contractors only):    Printed Name:                                                                                  Org:    Signature:    FDO Certification: I certify that this abstract has been reviewed and is (select one):       approved for public release.       releasable to these countries:___________________________________________________________    Printed Name: Martin Dubbs    Signature:                                                                                                 Date: 15 July 2016                                                       Digitally signed by DUBBS.MARTIN.LUTHER.JR.1039126741                      DUBBS.MARTIN.LUTHER.JR.103912674 DN: c=US, o=U.S. Government, ou=DoD, ou=PKI, ou=USA,                                                       cn=DUBBS.MARTIN.LUTHER.JR.1039126741                      1                                Date: 2016.07.15 09:28:18 -04'00'                                             UNCLASSIFIED  Abstract: In 2015 the first ever Army Modeling and Simulation Capability Portfolio Review (M&S CPR) was spearheaded by the Army Modeling & Simulation Office (AMSO) to identify current M&S capabilities and gaps. This presentation will describe the Army M&S CPR process and results; demonstrate how AMSO facilitates Army Enterprise M&S solutions for critical Army M&S needs; how the process enables communication and sharing between Army communities, Joint, and Industry partners; and provides long term prioritized planning for M&S needs to address Army strategic goals. The M&S CPR identified 394 Army M&S tools in active use and M&S enterprise gaps in the following areas: Chemical, Biological, Radiological, and Nuclear (CBRN); Cyber / Electronic Warfare (EW); Fires; Intelligence; Network; Resourcing; Sensors; Terrain; and Workforce. Working groups for each M&S gap area were formed to analyze and refine gaps, identify the communities impacted, and discover ways to close gaps meeting Army needs and mission requirements. In February 2016, the working groups and stakeholders were brought together in Fort Belvoir, VA for the first annual Army M&S Gaps Forum to discuss M&S gap resolutions. The resultant courses of action provided to the Army M&S Governance Forums included recommendations for policy updates, procedure changes, capability sharing, studies for new research and methodology development, and improvements to existing models and simulations. The processes and results documented in this presentation will provide attendees with: A method to assess capabilities distributed across multiple organizations, commands, and communities; insights on Army M&S gaps, areas needing support from Joint Services, DOD, and Industry; and the Army enterprise approach to M&S capability gaps and how to get involved.","007_Traylor_CAAAMSO_M_S_Capability_Portfolio_Review_and_Gap_Analysis_AORS_2016_FDO_Signed.txt"
"8","Intelligence and Sensors Modeling and Simulation Gap Analysis","U.S. Army Modeling and Simulation Office","54th AORS 2016                               ABSTRACT SUBMISSION FORM Abstracts must be approved for public release or release to the foreign governments of Australia, Canada, France, Germany, the Netherlands, New Zealand, the Republic of Korea, and the United Kingdom. NOTE: It is the responsibility of the corresponding author to obtain the required release authority from their respective Foreign Disclosure Officer (FDO). Please email the completed and certified abstract submission form to the AORS Mailbox not later than 8 July 2016.                                      Security Classification: UNCLASSIFIED        Title: Intelligence and Sensors Modeling and Simulation Gap Analysis    Keywords: Modeling & Simulation, Capability Portfolio Review, ISR, Intelligence, Sensors, Operational En    Recommended Working Group Session(s): Modeling and Simulation (M&S)    Corresponding Author:    Last: Traylor                   First: Rebeca                                                 Org: U.S. Army Modeling and Simulation Office    Street: 5801 Hurley Rd    City:     Fort Belvoir                     State: VA                           Zip: 22060                   Country: United States    Phone Comm: (703) 805-0230                 Fax Comm:    Phone DSN:                                 Fax DSN:    Email: rebeca.r.traylor.civ@mail.mil    Additional Authors:    Last:   Thomas                  First: Kirby                                                  Org: U.S. Army HQDA DCS G-2    Last:   Harkrider               First: Susan                                                  Org: U.S. Army RDECOM CERDEC NVESD    Last:   Pilar                   First: Jamie                                                  Org: Trideum Corp    Sponsor (for Contractors only):    Printed Name:                                                                                 Org:    Signature:    FDO Certification: I certify that this abstract has been reviewed and is (select one):       approved for public release.       releasable to these countries:___________________________________________________________    Printed Name: Martin Dubbs    Signature:                                                                                                Date: 15 July 2016                                                      Digitally signed by DUBBS.MARTIN.LUTHER.JR.1039126741                     DUBBS.MARTIN.LUTHER.JR.103912674 DN: c=US, o=U.S. Government, ou=DoD, ou=PKI, ou=USA,                                                      cn=DUBBS.MARTIN.LUTHER.JR.1039126741                     1                                Date: 2016.07.15 09:26:32 -04'00'                                            UNCLASSIFIED  Abstract: The U.S. Army Intelligence and Sensors Modeling and Simulation (M&S) communities have come together in 2015 and 2016 to identify cross-community M&S gaps as part of the Army M&S Capability Portfolio Review (CPR). The initial CPR efforts recognized fourteen M&S gaps specific to the areas of intelligence and sensors, which impacted multiple Army communities (Acquisition, Analysis, Experimentation, Intelligence, Test and Evaluation, and Training) and prevent meeting Army mission needs. A working group was developed, leveraging intelligence and sensor subject matter experts from Army and Joint stakeholders, to define the M&S gaps, prioritize these gaps, and recommend courses of action for delivering M&S capability. This presentation will cover the M&S CPR gap process used, provide an overview of the 43 refined intelligence and sensor gaps, expound on the top 9 prioritized gaps, and summarize the recommended courses of action, which will be presented to the U.S. Army M&S Governance Forums. The M&S CPR Gap process will be a continuing effort with annual Gap Forums designed to gather M&S gaps and recommendations for gap closures.","008_Traylor_CAAAMSO_Intelligence_and_Sensors_M_S_Gap_Analysis_AORS_2016_FDO_Signed.txt"
"9","Mission Training Complex Analysis (MTCA)","Center for Army Analysis","54th AORS 2016                              ABSTRACT SUBMISSION FORM Abstracts must be approved for public release or release to the foreign governments of Australia, Canada, France, Germany, the Netherlands, New Zealand, the Republic of Korea, and the United Kingdom. NOTE: It is the responsibility of the corresponding author to obtain the required release authority from their respective Foreign Disclosure Officer (FDO). Please email the completed and certified abstract submission form to the AORS Mailbox not later than 15 July 2016.                                      Security Classification: UNCLASSIFIED        Title: Mission Training Complex Analysis (MTCA)    Keywords: MTC, Manpower, Training    Recommended Working Group Session(s): Manpower, Personnel & Training Analysis    Corresponding Author:    Last: Pannell                   First: Micheal                                                Org: Center for Army Analysis    Street: 6001 Goethals Rd.    City:     Fort Belvoir                     State: VA                           Zip: 22060                    Country: USA    Phone Comm: 703-806-5129                   Fax Comm: 703-806-5726    Phone DSN:       656-5129                  Fax DSN:                      656-5726    Email: micheal.v.pannell.civ@mail.mil    Additional Authors:    Last:                           First:                                                        Org:    Last:                           First:                                                        Org:    Last:                           First:                                                        Org:    Sponsor (for Contractors only):    Printed Name:                                                                                 Org:    Signature:    FDO Certification: I certify that this abstract has been reviewed and is (select one):       approved for public release.       releasable to these countries:___________________________________________________________    Printed Name: Martin Dubbs    Signature:                                                                                                Date: 15 July 2016                                                      Digitally signed by DUBBS.MARTIN.LUTHER.JR.1039126741                     DUBBS.MARTIN.LUTHER.JR.103912674 DN: c=US, o=U.S. Government, ou=DoD, ou=PKI, ou=USA,                                                      cn=DUBBS.MARTIN.LUTHER.JR.1039126741                     1                                Date: 2016.07.15 09:11:08 -04'00'                                              UNCLASSIFIED  Abstract: Mission Training Complexes (MTC) provide the capability to sustain Soldier individual digital skills, unit Mission Command (MC) collective training, and warfighting functional competencies using live-virtual-constructive gaming enablers. The efficient use of these facilities to integrate live and simulation-based training will assist the Army in maintaining its desired level of readiness under the shadow of diminishing training dollars. It is unclear whether or not the Army’s investment in MTCs is being utilized to its full capacity given that a set of standardized metrics to measure MTC capacity does not exist. In an effort to ensure these resources are being utilized to their full capacity the Vice Chief of Staff of the Army (VCSA) has requested that the Center for Army Analysis (CAA), in coordination with G-3/5/7, develop a way to measure the effectiveness and efficiency of the Army’s MTC investment. The MCTA seeks to develop quantitative metrics to measure MTC utilization and capacity and provide insights into the effectiveness of the MTC facilities to accomplish the training mission. Six installations with MTC facilities have been selected to provide data supporting capacity metrics to measure the three primary resources that define MTC capacity: manpower, classroom space and equipment.","009_Pannell_CAARA__Mission_Training_Complex_Analysis_(MTCA)_AORS_2016_FDO__Signed.txt"
"10","Component Four Requirements Through Empirical Research (COMFORTER)","Center for Army Analysis","54th AORS 2016                              ABSTRACT SUBMISSION FORM Abstracts must be approved for public release or release to the foreign governments of Australia, Canada, France, Germany, the Netherlands, New Zealand, the Republic of Korea, and the United Kingdom. NOTE: It is the responsibility of the corresponding author to obtain the required release authority from their respective Foreign Disclosure Officer (FDO). Please email the completed and certified abstract submission form to the AORS Mailbox not later than 15 July 2016.                                      Security Classification: UNCLASSIFIED        Title: Component Four Requirements Through Empirical Research (COMFORTER)    Keywords: Force Structure, TAA Resourcing Panel, Force Development, Unit Resourcing    Recommended Working Group Session(s): Force Development    Corresponding Author:    Last: Adams                     First: Jordon                                                 Org: Center for Army Analysis    Street: 6001 Goethals Road    City:     Fort Belvoir                     State: VA                           Zip: 22060                    Country: United States    Phone Comm: 703-806-5559                   Fax Comm:    Phone DSN:                                 Fax DSN:    Email: jordon.r.adams.civ@mail.mil    Additional Authors:    Last:   Holzgrefe               First: James                                                  Org: Center for Army Analysis    Last:                           First:                                                        Org:    Last:                           First:                                                        Org:    Sponsor (for Contractors only):    Printed Name:                                                                                 Org:    Signature:    FDO Certification: I certify that this abstract has been reviewed and is (select one):       approved for public release.       releasable to these countries:___________________________________________________________    Printed Name: Martin Dubbs    Signature:                                                                                                Date: 15 July 2016                                                      Digitally signed by DUBBS.MARTIN.LUTHER.JR.1039126741                     DUBBS.MARTIN.LUTHER.JR.103912674 DN: c=US, o=U.S. Government, ou=DoD, ou=PKI, ou=USA,                                                      cn=DUBBS.MARTIN.LUTHER.JR.1039126741                     1                                Date: 2016.07.15 10:28:35 -04'00'                                             UNCLASSIFIED  Abstract: Total Army Analysis is an annual programming exercise through which the Army determines how it will adapt its mix of forces. Considerations for this adaptation include current operational tempo, strategic guidance, and end-strength constraints. Typically, TAA identifies a target force structure for the end of the Program Objective Memorandum (POM) and force managers determine how the Army’s mix will change from the current structure to achieve the target structure by the end of the POM. During TAA19-23, Army senior leaders requested analysis of the “total required force”, which required a close look at the unresourced force structure (Component/COMPO 4). This presentation describes how CAA developed a methodology to address force structure risk, assess sensitivity of inventory requirements to parameter changes, and to inform COMPO 4 discussions between the Director of Force Management, the Army G3, and the Chief of Staff of the Army. The methodology developed includes a means of identifying unresourced units in planned Army structure, corresponding personnel requirements and an overall cost analysis on planned operating force structure.","010_Adams_CAAFSA_Component_Four_Requirements_Through_Empirical_Research_(COMFORTER)_AORS_2016_FDO_Signed.txt"
